"","YYYY","MM_DD","ATMP"
"448",1986,"12-6",1.5
"449",1986,"12-7",3.7
"450",1986,"12-8",4
"451",1986,"12-9",3.3
"452",1986,"12-10",4.9
"453",1986,"12-11",4.4
"454",1986,"12-12",4.3
"455",1986,"12-13",2.9
"456",1986,"12-14",3.2
"457",1986,"12-15",0.8
"458",1986,"12-16",-1
"459",1986,"12-17",0.8
"460",1986,"12-18",2.1
"461",1986,"12-19",2.1
"462",1986,"12-20",1.3
"463",1986,"12-21",2.5
"464",1986,"12-22",3.3
"465",1986,"12-23",2.7
"466",1986,"12-24",3.2
"467",1986,"12-25",-2.5
"468",1986,"12-26",-2.6
"469",1986,"12-27",-3.7
"470",1986,"12-28",-6.1
"471",1986,"12-29",-2
"472",1986,"12-30",0.3
"473",1986,"12-31",-2.1
"474",1987,"1-1",-4.7
"475",1987,"1-2",-6.2
"476",1987,"1-3",3.3
"477",1987,"1-4",2.5
"478",1987,"1-5",2
"479",1987,"1-6",-2.4
"480",1987,"1-7",-5.8
"481",1987,"1-8",-5.7
"482",1987,"1-9",-4.2
"483",1987,"1-10",-6.6
"484",1987,"1-11",2
"485",1987,"1-12",2.2
"486",1987,"1-13",-0.4
"487",1987,"1-14",0.8
"488",1987,"1-15",2.6
"489",1987,"1-16",1.7
"490",1987,"1-17",-0.3
"491",1987,"1-18",-0.1
"492",1987,"1-19",1.4
"493",1987,"1-20",1.5
"494",1987,"1-21",-1.2
"495",1987,"1-22",-2.6
"496",1987,"1-23",-1.4
"497",1987,"1-24",-2.9
"498",1987,"1-25",-3.4
"499",1987,"1-27",1.2
"500",1987,"1-28",3.2
"501",1987,"1-30",-5.8
"502",1987,"1-31",-4.2
"503",1987,"2-1",-3.9
"504",1987,"2-2",-6.4
"505",1987,"2-3",-5.3
"506",1987,"2-4",-4.2
"507",1987,"2-5",-1.5
"508",1987,"2-6",-1.2
"509",1987,"2-7",0.6
"510",1987,"2-8",0.5
"511",1987,"2-10",2.2
"512",1987,"2-11",1.7
"513",1987,"2-12",1.8
"514",1987,"2-13",0.8
"515",1987,"2-14",0
"516",1987,"2-15",-1
"517",1987,"2-16",-0.5
"518",1987,"2-17",-2.1
"519",1987,"2-18",-4.2
"520",1987,"2-19",-4.4
"521",1987,"2-20",-5.4
"522",1987,"2-21",-6.2
"523",1987,"2-22",-4.5
"524",1987,"2-23",-1.4
"525",1987,"2-24",-1.3
"526",1987,"2-25",1.1
"527",1987,"2-26",1.2
"528",1987,"2-27",2.3
"529",1987,"2-28",1.8
