"","YYYY","MM_DD","ATMP","WTMP"
"337",1986,"8-17",9.2,8.9
"338",1986,"8-18",8.4,9.3
"339",1986,"8-19",9.7,9.8
"340",1986,"8-20",10.4,9.7
"341",1986,"8-21",10.1,10.1
"342",1986,"8-22",9.9,9.3
"343",1986,"8-23",9.3,9.3
"344",1986,"8-24",8.8,9.3
"345",1986,"8-25",7.6,8.9
"346",1986,"8-26",8.6,8.9
"347",1986,"8-27",7.7,8.9
"348",1986,"8-28",7.6,8.9
"349",1986,"8-29",7.1,8.9
"350",1986,"8-30",8.5,9
"351",1986,"8-31",9,9.2
"352",1986,"9-1",7.2,9.1
"353",1986,"9-2",8.2,9.2
"354",1986,"9-3",9.1,9
"355",1986,"9-4",8.8,9
"356",1986,"9-5",5.9,8.6
"357",1986,"9-6",6.5,8.4
"358",1986,"9-7",8.1,8
"359",1986,"9-8",7.6,8.1
"360",1986,"9-9",9.2,8.1
"361",1986,"9-10",9,7.9
"362",1986,"9-11",7.7,8.4
"363",1986,"9-12",8.8,8.2
"364",1986,"9-13",8.2,7.9
"365",1986,"9-14",8.6,8.3
"366",1986,"9-15",8.9,8.1
"367",1986,"9-16",8.5,8.7
"368",1986,"9-17",7.7,9
"369",1986,"9-18",7.7,8.9
"370",1986,"9-19",7.1,8.7
"371",1986,"9-20",7.3,8.7
"372",1986,"9-21",7.8,8.8
"373",1986,"9-22",6.4,8.5
"374",1986,"9-23",7.2,8.7
"375",1986,"9-24",8,8.4
"376",1986,"9-25",7,8.5
"377",1986,"9-26",7.6,8.2
"378",1986,"9-27",6.7,7.7
"379",1986,"9-28",6.2,8.1
"380",1986,"9-29",7.1,8.2
"381",1986,"9-30",5.9,7.7
"382",1986,"10-1",6.8,7.9
"383",1986,"10-2",6.3,7.6
"384",1986,"10-3",4.4,7.7
"385",1986,"10-4",5.2,7.7
"386",1986,"10-5",5.8,7.5
"387",1986,"10-6",6.5,7.5
"388",1986,"10-7",6.3,7.3
"389",1986,"10-8",4.7,6.5
"390",1986,"10-9",4.3,5.8
"391",1986,"10-10",3.2,6.2
"392",1986,"10-11",3.8,5.4
"393",1986,"10-12",3.3,5.4
"394",1986,"10-13",4,5.9
"395",1986,"10-14",6.1,6.4
"396",1986,"10-15",4.3,6.8
"397",1986,"10-16",3.6,6.9
"398",1986,"10-17",2,6.9
"399",1986,"10-18",5.4,7
"400",1986,"10-19",4.9,6.5
"401",1986,"10-20",6,6.4
"402",1986,"10-21",4.6,6.3
"403",1986,"10-22",3.4,6.3
"404",1986,"10-23",2.2,6.1
"405",1986,"10-24",6.7,6.1
"406",1986,"10-25",5.6,6
"407",1986,"10-26",5.7,6
"408",1986,"10-27",4.6,6
"409",1986,"10-28",3.5,5.9
"410",1986,"10-29",2.3,5.8
"411",1986,"10-30",3.6,5.8
"412",1986,"10-31",4.7,5.5
"413",1986,"11-1",4.7,5.6
"414",1986,"11-2",3.5,5.7
"415",1986,"11-3",5.3,5.4
"416",1986,"11-4",4.4,5.5
"417",1986,"11-5",5.1,5.6
"418",1986,"11-6",4.6,5.7
"419",1986,"11-7",5.2,5.6
"420",1986,"11-8",5.5,5.7
"421",1986,"11-9",3.9,5.6
"422",1986,"11-10",5.7,5.6
"423",1986,"11-11",3.8,5.6
"424",1986,"11-12",5.6,5.6
"425",1986,"11-13",5.5,5.5
"426",1986,"11-14",5.4,5.6
"427",1986,"11-15",4.3,5.6
"428",1986,"11-16",5,5.4
"429",1986,"11-17",3.1,5.6
"430",1986,"11-18",3.5,5.3
"431",1986,"11-19",2.4,5.2
"432",1986,"11-20",2.4,5.4
"433",1986,"11-21",1.3,5.2
"434",1986,"11-22",0.1,3.9
"435",1986,"11-23",-1.3,3.9
"436",1986,"11-24",-0.6,3.9
"437",1986,"11-25",0.8,3.9
"438",1986,"11-26",0.8,3.9
"439",1986,"11-27",2,3.9
"440",1986,"11-28",-0.1,3.8
"441",1986,"11-29",0.5,3.7
"442",1986,"11-30",1.3,4.5
"443",1986,"12-1",1.8,4.2
"444",1986,"12-2",2.3,4
"445",1986,"12-3",3,3.8
"446",1986,"12-4",1.7,3.8
"447",1986,"12-5",1.1,3.7
"448",1986,"12-6",1.5,3.8
"449",1986,"12-7",3.7,3.8
"450",1986,"12-8",4,3.8
"451",1986,"12-9",3.3,3.8
"452",1986,"12-10",4.9,3.9
"453",1986,"12-11",4.4,3.9
"454",1986,"12-12",4.3,3.9
"455",1986,"12-13",2.9,3.9
"456",1986,"12-14",3.2,3.8
"457",1986,"12-15",0.8,3.8
"458",1986,"12-16",-1,3.7
"459",1986,"12-17",0.8,3.7
"460",1986,"12-18",2.1,3.7
"461",1986,"12-19",2.1,3.6
"462",1986,"12-20",1.3,3.6
"463",1986,"12-21",2.5,3.6
"464",1986,"12-22",3.3,3.5
"465",1986,"12-23",2.7,3.5
"466",1986,"12-24",3.2,3.5
"467",1986,"12-25",-2.5,3.4
"468",1986,"12-26",-2.6,3.6
"469",1986,"12-27",-3.7,3.5
"470",1986,"12-28",-6.1,3.4
"471",1986,"12-29",-2,3.4
"472",1986,"12-30",0.3,3.3
"473",1986,"12-31",-2.1,3.3
"474",1987,"1-1",-4.7,3.2
"475",1987,"1-2",-6.2,3.1
"476",1987,"1-3",3.3,3.2
"477",1987,"1-4",2.5,3.2
